Instrument,Committee Name,Committee Position of the Director,Committee Start Date,LEI,Company Name,Officer Rank,Officer Full Name,Officer First Name,Officer Middle Name,Officer Last Name,Officer Start Date,Director Start Date,Position Start Date,Position Description
DRX.L,Audit,Member,2018-01-12,549300YPSNTXR4ZHSR98,Drax Group PLC,6,Ms. Nicola Hodson,Nicola,,Hodson,NaT,2018-01-12 00:00:00,2018-01-12 00:00:00,Non-Executive Independent Director
DRX.L,Audit,Member,2017-08-01,549300YPSNTXR4ZHSR98,Drax Group PLC,8,Mr. David Nussbaum,David,,Nussbaum,NaT,2017-08-01 00:00:00,2019-04-17 00:00:00,Senior Non-Executive Independent Director
DRX.L,Audit,Member,2021-10-21,549300YPSNTXR4ZHSR98,Drax Group PLC,9,Ms. Erika Peterman,Erika,,Peterman,NaT,2021-10-21 00:00:00,2021-10-21 00:00:00,Non-Executive Independent Director
DRX.L,Audit,Chairman,2019-04-17,549300YPSNTXR4ZHSR98,Drax Group PLC,10,Ms. Vanessa Kate Simms,Vanessa,Kate,Simms,NaT,2018-06-19 00:00:00,2018-06-19 00:00:00,Non-Executive Independent Director
SMDS.L,Audit,Member,2022-06-01,39RSBE4RCI4M15BLWH36,DS Smith PLC,5,Mr. Alan Johnson,Alan,,Johnson,NaT,2022-06-01 00:00:00,2022-06-01 00:00:00,Non-Executive Director
SMDS.L,Audit,Member,2023-05-15,39RSBE4RCI4M15BLWH36,DS Smith PLC,6,Mr. Eric C. Olsen,Eric,C.,Olsen,NaT,2023-05-15 00:00:00,2023-05-15 00:00:00,Non-Executive Director
SMDS.L,Audit,Member,2019-10-09,39RSBE4RCI4M15BLWH36,DS Smith PLC,7,"Dr. Celia Frances Baxter, Ph.D.",Celia,Frances,Baxter,NaT,2019-10-09 00:00:00,2019-10-09 00:00:00,Non-Executive Independent Director
SMDS.L,Audit,Member,2020-05-01,39RSBE4RCI4M15BLWH36,DS Smith PLC,8,Ms. Alina Kessel,Alina,,Kessel,NaT,2020-05-01 00:00:00,2020-05-01 00:00:00,Non-Executive Independent Director
SMDS.L,Audit,Chairman,2019-09-03,39RSBE4RCI4M15BLWH36,DS Smith PLC,9,Mr. David Robbie,David,,Robbie,NaT,2019-04-11 00:00:00,2022-02-28 00:00:00,Senior Non-Executive Independent Director
SMDS.L,Audit,Member,2014-06-23,39RSBE4RCI4M15BLWH36,DS Smith PLC,10,Ms. Louise Smalley,Louise,,Smalley,NaT,2014-06-23 00:00:00,2014-06-23 00:00:00,Non-Executive Independent Director
DNLM.L,Audit,Chairman,2019-11-19,213800WCOWEI3T5DUV19,Dunelm Group PLC,8,Mr. Ian Bull,Ian,,Bull,NaT,2019-07-10 00:00:00,2019-07-10 00:00:00,Non-Executive Independent Director
DNLM.L,Audit,Member,2022-03-01,213800WCOWEI3T5DUV19,Dunelm Group PLC,9,Ms. Kelly Ann Devine,Kelly,Ann,Devine,NaT,2022-03-01 00:00:00,2022-03-01 00:00:00,Non-Executive Independent Director
DNLM.L,Audit,Member,2015-07-01,213800WCOWEI3T5DUV19,Dunelm Group PLC,10,Mr. William Reeve,William,,Reeve,NaT,2015-07-01 00:00:00,2020-09-10 00:00:00,Senior Non-Executive Independent Director
DNLM.L,Audit,Member,2015-09-10,213800WCOWEI3T5DUV19,Dunelm Group PLC,11,Mr. Peter Ruis,Peter,,Ruis,NaT,2015-09-10 00:00:00,2015-09-10 00:00:00,Non-Executive Independent Director
DNLM.L,Audit,Member,2021-02-15,213800WCOWEI3T5DUV19,Dunelm Group PLC,12,Ms. Arja Taaveniku,Arja,,Taaveniku,NaT,2021-02-15 00:00:00,2021-02-15 00:00:00,Non-Executive Independent Director
DNLM.L,Audit,Member,2021-10-01,213800WCOWEI3T5DUV19,Dunelm Group PLC,13,Mr. Vijay Talwar,Vijay,,Talwar,NaT,2021-10-01 00:00:00,2021-10-01 00:00:00,Non-Executive Independent Director
EZJ.L,Audit,Member,2023-03-01,2138001S47XKWIB7TH90,Easyjet PLC,13,Ms. Sue Clark,Sue,,Clark,NaT,2023-03-01 00:00:00,2023-03-01 00:00:00,Independent Director
EZJ.L,Audit,Member,2020-08-31,2138001S47XKWIB7TH90,Easyjet PLC,14,"Mrs. Catherine Annick Caroline Bradley, CBE",Catherine,Annick Caroline,Bradley,NaT,2020-01-01 00:00:00,2020-01-01 00:00:00,Non-Executive Independent Director
EZJ.L,Audit,Member,2020-11-17,2138001S47XKWIB7TH90,Easyjet PLC,17,Mr. David Robbie,David,,Robbie,NaT,2020-11-17 00:00:00,2020-11-17 00:00:00,Non-Executive Independent Director
EZJ.L,Audit,Member,2022-09-01,2138001S47XKWIB7TH90,Easyjet PLC,18,Dr. Detlef Trefzger,Detlef,,Trefzger,NaT,2022-09-01 00:00:00,2022-09-01 00:00:00,Non-Executive Independent Director
EDIN.L,Audit,Member,2019-05-23,549300HV0VXCRONER808,Edinburgh Investment Trust PLC,1,Ms. Elisabeth Stheeman,Elisabeth,,Stheeman,NaT,2019-05-23 00:00:00,2022-07-21 00:00:00,Non-Executive Independent Chairman of the Board
EDIN.L,Audit,Chairman,2021-07-22,549300HV0VXCRONER808,Edinburgh Investment Trust PLC,2,Mr. Steven John (Steve) Baldwin,Steven,John,Baldwin,NaT,2018-09-10 00:00:00,2018-09-10 00:00:00,Non-Executive Independent Director
EDIN.L,Audit,Member,2021-02-11,549300HV0VXCRONER808,Edinburgh Investment Trust PLC,3,Mr. Patrick Edwardson,Patrick,J.,Edwardson,NaT,2021-02-11 00:00:00,2021-02-11 00:00:00,Non-Executive Independent Director
EDIN.L,Audit,Member,,549300HV0VXCRONER808,Edinburgh Investment Trust PLC,4,Ms. Victoria (Vicky) Hastings,Victoria,,Hastings,NaT,2013-05-23 00:00:00,2019-07-25 00:00:00,Senior Non-Executive Independent Director
EDIN.L,Audit,Member,2022-05-27,549300HV0VXCRONER808,Edinburgh Investment Trust PLC,5,Mr. Aidan Lisser,Aidan,,Lisser,NaT,2022-05-27 00:00:00,2022-05-27 00:00:00,Non-Executive Independent Director
EDIN.L,Audit,Member,2023-02-07,549300HV0VXCRONER808,Edinburgh Investment Trust PLC,6,Ms. Annabel Tagoe-Bannerman,Annabel,,Tagoe-Bannerman,NaT,2023-02-07 00:00:00,2023-02-07 00:00:00,Non-Executive Independent Director
ELM.L,Audit,Member,2022-03-15,549300LQIH685LI2ML36,Elementis PLC,10,"Dr. Geertrui Elizabeth (Trudy) Schoolenberg, Ph.D.",Geertrui,Elizabeth,Schoolenberg,NaT,2022-03-15 00:00:00,2022-04-26 00:00:00,Senior Independent Director
ELM.L,Audit,Member,2017-03-01,549300LQIH685LI2ML36,Elementis PLC,11,Ms. Dorothee Anna Deuring,Dorothee,Anna,Deuring,NaT,2017-03-01 00:00:00,2017-03-01 00:00:00,Non-Executive Independent Director
ELM.L,Audit,Chairman,2022-04-26,549300LQIH685LI2ML36,Elementis PLC,13,Ms. Christine Soden,Christine,Helen,Soden,NaT,2020-11-01 00:00:00,2020-11-01 00:00:00,Non-Executive Independent Director
ELM.L,Audit,Member,2022-12-01,549300LQIH685LI2ML36,Elementis PLC,14,Mr. Clement Woon,Clement,,Woon,NaT,2022-12-01 00:00:00,2022-12-01 00:00:00,Non-Executive Independent Director
EDV.L,Audit,Chairman,2020-07-01,529900NI5MXQ91GHXR07,Endeavour Mining plc,11,Ms. Alison Claire Baker,Alison,Claire,Baker,NaT,2020-03-05 00:00:00,2020-03-05 00:00:00,Non-Executive Independent Director
EDV.L,Audit,Member,,529900NI5MXQ91GHXR07,Endeavour Mining plc,13,Ms. Livia Mahler,Livia,,Mahler,NaT,2016-10-01 00:00:00,2016-10-01 00:00:00,Non-Executive Independent Director
EDV.L,Audit,Member,2020-07-01,529900NI5MXQ91GHXR07,Endeavour Mining plc,16,Mr. Tertius Zongo,Tertius,,Zongo,NaT,2020-07-01 00:00:00,2020-07-01 00:00:00,Non-Executive Independent Director
ENOG.L,Audit,Chairman,2017-08-01,549300RVMKU0CYUZBB05,Energean PLC,6,Mr. Andrew Donald Bartlett,Andrew,Donald,Bartlett,NaT,2017-08-01 00:00:00,2022-03-24 00:00:00,Independent Non-Executive Director
ENOG.L,Audit,Member,2019-11-21,549300RVMKU0CYUZBB05,Energean PLC,8,Ms. Amy Lashinsky,Amy,,Lashinsky,NaT,2019-11-21 00:00:00,2019-11-21 00:00:00,Non-Executive Independent Director
ENOG.L,Audit,Member,2020-07-27,549300RVMKU0CYUZBB05,Energean PLC,9,Mr. Andreas Persianis,Andreas,,Persianis,NaT,2020-07-26 00:00:00,2020-07-26 00:00:00,Non-Executive Independent Director
ENOG.L,Audit,Member,2021-01-01,549300RVMKU0CYUZBB05,Energean PLC,10,Ms. Kimberley K. (Kim) Wood,Kimberley,K.,Wood,NaT,2020-07-26 00:00:00,2020-07-26 00:00:00,Non-Executive Independent Director
ENT.L,Audit,Chairman,2018-09-13,213800GNI3K45LQR8L28,Entain PLC,5,Mr. Pierre B. Bouchut,Pierre,B.,Bouchut,NaT,2018-09-13 00:00:00,2018-09-13 00:00:00,Non-Executive Independent Director
ENT.L,Audit,Member,2021-08-17,213800GNI3K45LQR8L28,Entain PLC,8,Mr. David Satz,David,,Satz,NaT,2020-10-22 00:00:00,2020-10-22 00:00:00,Non-Executive Independent Director
ENT.L,Audit,Member,2023-02-23,213800GNI3K45LQR8L28,Entain PLC,9,Mr. Rahul Welde,Rahul,,Welde,NaT,2022-07-01 00:00:00,2022-07-01 00:00:00,Non-Executive Independent Director
ESNT.L,Audit,Member,2023-01-03,5493007MOZNA03BVNE96,Essentra PLC,14,Ms. Kath Louise (Kath) Durrant,Kath,Louise,Durrant,NaT,2023-01-03 00:00:00,2023-01-03 00:00:00,Non-Executive Independent Director
ESNT.L,Audit,Member,2021-06-28,5493007MOZNA03BVNE96,Essentra PLC,15,Mr. Adrian I. Peace,Adrian,I.,Peace,NaT,2021-06-28 00:00:00,2021-06-28 00:00:00,Non-Executive Independent Director
ESNT.L,Audit,Chairman,2018-04-19,5493007MOZNA03BVNE96,Essentra PLC,16,Ms. Mary Reilly,Mary,,Reilly,NaT,2017-07-01 00:00:00,2021-05-20 00:00:00,Non-Executive Senior Independent Director
ESNT.L,Audit,Member,2021-01-01,5493007MOZNA03BVNE96,Essentra PLC,17,Mr. Ralf Klaus Wunderlich,Ralf,Klaus,Wunderlich,NaT,2017-07-01 00:00:00,2017-07-01 00:00:00,Non-Executive Independent Director
EOTE.L,Audit,Member,2021-09-01,549300XN7RXQWHN18849,European Opportunities Trust PLC,1,Mr. Matthew Dobbs,Matthew,,Dobbs,NaT,2021-09-01 00:00:00,2022-11-16 00:00:00,Non-Executive Independent Chairman of the Board
EOTE.L,Audit,Member,,549300XN7RXQWHN18849,European Opportunities Trust PLC,2,Mr. Andrew Sutch,Andrew,,Sutch,NaT,2011-10-10 00:00:00,2017-01-01 00:00:00,Non-Executive Independent Chairman of the Board
EOTE.L,Audit,Member,2021-09-01,549300XN7RXQWHN18849,European Opportunities Trust PLC,5,Mr. Jeroen K. Huysinga,Jeroen,K.,Huysinga,NaT,2021-09-01 00:00:00,2021-09-01 00:00:00,Non-Executive Independent Director
EOTE.L,Audit,Member,,549300XN7RXQWHN18849,European Opportunities Trust PLC,6,The Rt. Hon. Lord Norman Stewart Hughson Lamont,Norman,Stewart Hughson,Lamont,NaT,2015-06-24 00:00:00,2023-11-01 00:00:00,Senior Non-Executive Independent Director
EOTE.L,Audit,Member,2023-09-01,549300XN7RXQWHN18849,European Opportunities Trust PLC,7,Ms. Manisha Shukla,Manisha,,Shukla,NaT,2023-09-01 00:00:00,2023-09-01 00:00:00,Non-Executive Independent Director
ESCT.L,Audit,Member,2019-11-01,213800N1B1HCQG2W4V90,European Smaller Companies Trust PLC,1,Mr. Christopher Michael (Chris) Casey,Christopher,Michael,Casey,NaT,2010-03-01 00:00:00,2019-11-25 00:00:00,Non-Executive Chairman of the Board
ESCT.L,Audit,Chairman,2019-11-25,213800N1B1HCQG2W4V90,European Smaller Companies Trust PLC,5,Mr. Daniel (Dan) Burgess,Daniel,,Burgess,NaT,2019-11-25 00:00:00,2019-11-25 00:00:00,Non-Executive Director
ESCT.L,Audit,Member,2019-09-23,213800N1B1HCQG2W4V90,European Smaller Companies Trust PLC,6,Ms. Ann Grevelius,Ann,,Grevelius,NaT,2019-09-23 00:00:00,2019-09-23 00:00:00,Non-Executive Independent Director
ESCT.L,Audit,Member,,213800N1B1HCQG2W4V90,European Smaller Companies Trust PLC,8,Mr. Alexander Mettenheimer,Alexander,,Mettenheimer,NaT,2011-07-01 00:00:00,2011-07-01 00:00:00,Non-Executive Independent Director
EWI.L,Audit,Member,2017-01-24,213800JUA8RKIDDLH380,Edinburgh Worldwide Investment Trust PLC,1,Mr. Henry C. T. Strutt,Henry,C. T.,Strutt,NaT,2011-11-01 00:00:00,2017-01-24 00:00:00,Non-Executive Independent Chairman of the Board
EWI.L,Audit,Member,2010-12-02,213800JUA8RKIDDLH380,Edinburgh Worldwide Investment Trust PLC,4,Ms. Helen James,Helen,,James,NaT,2010-12-02 00:00:00,2021-06-30 00:00:00,Senior Non-Executive Independent Director
EWI.L,Audit,Chairman,2020-02-01,213800JUA8RKIDDLH380,Edinburgh Worldwide Investment Trust PLC,5,Ms. Caroline A. Roxburgh,Caroline,A.,Roxburgh,NaT,2020-02-01 00:00:00,2020-02-01 00:00:00,Non-Executive Independent Director
EWI.L,Audit,Member,2023-03-07,213800JUA8RKIDDLH380,Edinburgh Worldwide Investment Trust PLC,5,Ms. Caroline A. Roxburgh,Caroline,A.,Roxburgh,NaT,2020-02-01 00:00:00,2020-02-01 00:00:00,Non-Executive Independent Director
EWI.L,Audit,Member,2020-02-01,213800JUA8RKIDDLH380,Edinburgh Worldwide Investment Trust PLC,6,Mr. Jonathan A. Simpson-Dent,Jonathan,A.,Simpson-Dent,NaT,2020-02-01 00:00:00,2020-02-01 00:00:00,Non-Executive Independent Director
EWI.L,Audit,Member,2016-12-08,213800JUA8RKIDDLH380,Edinburgh Worldwide Investment Trust PLC,7,Mr. Mungo I. G. Wilson,Mungo,I. G.,Wilson,NaT,2016-12-08 00:00:00,2016-12-08 00:00:00,Non-Executive Independent Director
EXPN.L,Audit,Member,2020-09-01,635400RXXHHYT1JTSZ26,Experian PLC,17,Ms. Alison Brittain,Alison,,Brittain,NaT,2020-09-01 00:00:00,2022-07-21 00:00:00,Senior Non-Executive Independent Director
EXPN.L,Audit,Member,,635400RXXHHYT1JTSZ26,Experian PLC,19,Ms. Caroline F. Donahue,Caroline,F.,Donahue,NaT,2017-01-01 00:00:00,2017-01-01 00:00:00,Non-Executive Independent Director
EXPN.L,Audit,Member,2015-09-08,635400RXXHHYT1JTSZ26,Experian PLC,20,Mr. Luiz Fernando Vendramini Fleury,Luiz,Fernando Vendramini,Fleury,NaT,2015-09-08 00:00:00,2015-09-08 00:00:00,Non-Executive Independent Director
EXPN.L,Audit,Chairman,2022-07-01,635400RXXHHYT1JTSZ26,Experian PLC,21,Mr. Jonathan Howell,Jonathan,,Howell,NaT,2021-05-01 00:00:00,2021-05-01 00:00:00,Non-Executive Independent Director
EXPN.L,Audit,Member,2022-11-01,635400RXXHHYT1JTSZ26,Experian PLC,23,Ms. Louise Pentland,Louise,,Pentland,NaT,2022-11-01 00:00:00,2022-11-01 00:00:00,Non-Executive Independent Director
FCIT.L,Audit,Member,2016-10-25,213800W6B18ZHTNG7371,F&C Investment Trust PLC,4,Mr. Edward Stephen Knapp,Edward,Stephen,Knapp,NaT,2016-07-25 00:00:00,2016-07-25 00:00:00,Non-Executive Independent Director
FCIT.L,Audit,Member,2020-05-07,213800W6B18ZHTNG7371,F&C Investment Trust PLC,6,Mr. Quintin Price,Quintin,R. S.,Price,NaT,2020-03-10 00:00:00,2021-05-11 00:00:00,Senior Non-Executive Independent Director
FCIT.L,Audit,Member,2022-02-01,213800W6B18ZHTNG7371,F&C Investment Trust PLC,7,Mr. Stephen Russell,Stephen,,Russell,NaT,2022-02-01 00:00:00,2022-02-01 00:00:00,Non-Executive Independent Director
FCIT.L,Audit,Chairman,2022-08-01,213800W6B18ZHTNG7371,F&C Investment Trust PLC,8,Ms. Julie Tankard,Julie,,Tankard,NaT,2022-08-01 00:00:00,2022-08-01 00:00:00,Non-Executive Independent Director
FEML.L,Audit,Chairman,2023-05-04,213800HWWQPUJ4K1GS84,Fidelity Emerging Markets Ltd,2,Mr. Julian R.P. Healy,Julian,R.P.,Healy,NaT,2022-12-12 00:00:00,2022-12-12 00:00:00,Non-Executive Independent Director
FEML.L,Audit,Member,2020-11-02,213800HWWQPUJ4K1GS84,Fidelity Emerging Markets Ltd,3,Mr. Torsten Koster,Torsten,,Koster,NaT,2020-07-01 00:00:00,2023-05-04 00:00:00,Senior Non-Executive Independent Director
FDM.L,Audit,Member,2016-01-15,213800YR62D7GUZLMZ71,FDM Group (Holdings) PLC,8,Ms. Michelle Senecal de Fonseca,Michelle,Senecal,de Fonseca,NaT,2016-01-15 00:00:00,2016-01-15 00:00:00,Non-Executive Independent Director
FDM.L,Audit,Chairman,2020-04-29,213800YR62D7GUZLMZ71,FDM Group (Holdings) PLC,10,Mr. Alan Kinnear,Alan,,Kinnear,NaT,2020-01-01 00:00:00,2020-01-01 00:00:00,Non-Executive Independent Director
FDM.L,Audit,Member,,213800YR62D7GUZLMZ71,FDM Group (Holdings) PLC,11,Mr. Peter F. Whiting,Peter,F.,Whiting,NaT,2014-06-01 00:00:00,2014-06-01 00:00:00,Senior Non-Executive Independent Director
FXPO.L,Audit,Chairman,2019-10-06,213800CEDKSNUTPAQZ41,Ferrexpo PLC,6,Mr. Graeme Dacomb,Graeme,,Dacomb,NaT,2019-10-06 00:00:00,2019-10-06 00:00:00,Independent Non-Executive Director
FXPO.L,Audit,Member,,213800CEDKSNUTPAQZ41,Ferrexpo PLC,7,"Mr. Vitalii Lisovenko, Ph.D.",Vitalii,,Lisovenko,NaT,2016-11-28 00:00:00,2022-02-11 00:00:00,Independent Non-Executive Director
FXPO.L,Audit,Member,2019-08-12,213800CEDKSNUTPAQZ41,Ferrexpo PLC,8,Ms. Fiona Margaret MacAulay,Fiona,Margaret,MacAulay,NaT,2019-08-12 00:00:00,2022-02-11 00:00:00,Senior Independent Non-Executive Director
FXPO.L,Audit,Member,2022-02-11,213800CEDKSNUTPAQZ41,Ferrexpo PLC,9,Ms. Natalie Polischuk,Natalie,,Polischuk,NaT,2021-12-29 00:00:00,2021-12-29 00:00:00,Independent Non-Executive Director
FCSS.L,Audit,Member,2022-07-01,54930076MSJ0ZW67JB75,Fidelity China Special Situations PLC,1,Mr. Mike Balfour,Mike,,Balfour,NaT,2018-10-01 00:00:00,2022-07-01 00:00:00,Non-Executive Independent Chairman of the Board
FCSS.L,Audit,Member,2023-01-01,54930076MSJ0ZW67JB75,Fidelity China Special Situations PLC,2,Mr. Gordon Robert Halyburton Orr,Gordon,Robert Halyburton,Orr,NaT,2023-01-01 00:00:00,2023-01-01 00:00:00,Non-Executive Director
FCSS.L,Audit,Chairman,2022-07-01,54930076MSJ0ZW67JB75,Fidelity China Special Situations PLC,4,Mr. Alastair C. Bruce,Alastair,C.,Bruce,NaT,2021-07-01 00:00:00,2021-07-01 00:00:00,Non-Executive Independent Director
FCSS.L,Audit,Member,2020-09-01,54930076MSJ0ZW67JB75,Fidelity China Special Situations PLC,5,Mrs. Vanessa Donegan,Vanessa,,Donegan,NaT,2020-09-01 00:00:00,2022-12-31 00:00:00,Senior Independent Non-Executive Director
FCSS.L,Audit,Member,2022-07-01,54930076MSJ0ZW67JB75,Fidelity China Special Situations PLC,6,Ms. Georgina Field,Georgina,,Field,NaT,2022-07-01 00:00:00,2022-07-01 00:00:00,Non-Executive Independent Director
FEV.L,Audit,Chairman,2018-05-14,549300UC0QPP7Y0W8056,Fidelity European Trust PLC,2,Ms. Fleur Meijs,Fleur,,Meijs,NaT,2017-09-01 00:00:00,2017-09-01 00:00:00,Non-Executive Independent Director
FEV.L,Audit,Member,2022-01-01,549300UC0QPP7Y0W8056,Fidelity European Trust PLC,3,Ms. Milyae Park,Milyae,,Park,NaT,2022-01-01 00:00:00,2022-01-01 00:00:00,Non-Executive Independent Director
FEV.L,Audit,Member,2020-01-01,549300UC0QPP7Y0W8056,Fidelity European Trust PLC,4,Sir Ivan Rogers,Ivan,,Rogers,NaT,2020-01-01 00:00:00,2020-01-01 00:00:00,Non-Executive Director Independent
FEV.L,Audit,Member,2017-03-06,549300UC0QPP7Y0W8056,Fidelity European Trust PLC,5,Mr. Paul T. Yates,Paul,T.,Yates,NaT,2017-03-06 00:00:00,2022-05-10 00:00:00,Senior Non-Executive Independent Director
FSV.L,Audit,Member,2015-11-03,549300XODK7D2K2KYV43,Fidelity Special Values PLC,1,Mr. Dean R. Buckley,Dean,R.,Buckley,NaT,2015-11-03 00:00:00,2022-12-14 00:00:00,Non-Executive Independent Chairman of the Board
FSV.L,Audit,Chairman,2019-12-12,549300XODK7D2K2KYV43,Fidelity Special Values PLC,2,Ms. Claire Boyle,Claire,,Boyle,NaT,2019-06-24 00:00:00,2019-06-24 00:00:00,Non-Executive Independent Director
FSV.L,Audit,Member,2022-06-23,549300XODK7D2K2KYV43,Fidelity Special Values PLC,3,Mr. Ominder Dhillon,Ominder,,Dhillon,NaT,2022-06-23 00:00:00,2022-06-23 00:00:00,Non-Executive Independent Director
FSV.L,Audit,Member,2015-09-01,549300XODK7D2K2KYV43,Fidelity Special Values PLC,4,Mr. Nigel Foster,Nigel,,Foster,NaT,2015-09-01 00:00:00,2015-09-01 00:00:00,Non-Executive Independent Director
FSV.L,Audit,Member,2020-01-01,549300XODK7D2K2KYV43,Fidelity Special Values PLC,5,Ms. Alison Mcgregor,Alison,,Mcgregor,NaT,2020-01-01 00:00:00,2020-01-01 00:00:00,Non-Executive Independent Director
FGT.L,Audit,Member,,213800NN4ZKX2LG1GQ40,Finsbury Growth & Income Trust PLC,1,Mr. Simon Hayes,Simon,,Hayes,NaT,2015-06-29 00:00:00,2021-02-17 00:00:00,Non-Executive Independent Chairman of the Board
FGT.L,Audit,Member,2020-10-14,213800NN4ZKX2LG1GQ40,Finsbury Growth & Income Trust PLC,2,Mr. James Ashton,James,,Ashton,NaT,2020-10-14 00:00:00,2020-10-14 00:00:00,Non-Executive Independent Director
FGT.L,Audit,Member,,213800NN4ZKX2LG1GQ40,Finsbury Growth & Income Trust PLC,3,Ms. Kate Cornish-Bowden,Kate,,Cornish-Bowden,NaT,2017-10-26 00:00:00,2017-10-26 00:00:00,Non-Executive Independent Director
FGT.L,Audit,Chairman,2020-05-12,213800NN4ZKX2LG1GQ40,Finsbury Growth & Income Trust PLC,4,Ms. Sandra Kelly,Sandra,,Kelly,NaT,2019-10-09 00:00:00,2021-02-17 00:00:00,Senior Non-Executive Independent Director
FGT.L,Audit,Member,,213800NN4ZKX2LG1GQ40,Finsbury Growth & Income Trust PLC,6,Ms. Lorna M. Tilbian,Lorna,M.,Tilbian,NaT,2017-10-26 00:00:00,2017-10-26 00:00:00,Non-Executive Independent Director
FGP.L,Audit,Member,2022-01-21,549300DEJZCPWA4HKM93,FirstGroup PLC,10,Ms. Claire Hawkings,Claire,,Hawkings,NaT,2022-01-21 00:00:00,2022-01-21 00:00:00,Independent Non-Executive Director
FGP.L,Audit,Chairman,2021-06-30,549300DEJZCPWA4HKM93,FirstGroup PLC,11,Ms. Jane Ann Lodge,Jane,Ann,Lodge,NaT,2021-06-30 00:00:00,2021-06-30 00:00:00,Independent Non-Executive Director
FGP.L,Audit,Member,2021-06-30,549300DEJZCPWA4HKM93,FirstGroup PLC,12,Mr. Peter J. Lynas,Peter,J.,Lynas,NaT,2021-06-30 00:00:00,2021-06-30 00:00:00,Senior Non-Executive Independent Director
FLTRF.L,Audit,Chairman,2022-04-28,635400EG4YIJLJMZJ782,Flutter Entertainment PLC,10,Ms. Holly Koeppel Koeppel,Holly,Koeppel,Koeppel,NaT,2021-05-13 00:00:00,2023-01-01 00:00:00,Senior Non-Executive Independent Director
FLTRF.L,Audit,Member,2020-05-22,635400EG4YIJLJMZJ782,Flutter Entertainment PLC,11,Mr. David Lazzarato,David,,Lazzarato,NaT,2020-05-05 00:00:00,2020-05-05 00:00:00,Independent Non-Executive Director 
FLTRF.L,Audit,Member,2022-07-01,635400EG4YIJLJMZJ782,Flutter Entertainment PLC,12,Ms. Carolan Mary Lennon,Carolan,Mary,Lennon,NaT,2022-07-01 00:00:00,2022-07-01 00:00:00,Non-Executive Independent Director
FSFL.L,Audit,Member,2021-05-23,213800VO4O83JVSSOX33,Foresight Solar Fund Ltd,5,Mr. Christopher John (Chris) Ambler,Christopher,John,Ambler,NaT,2013-08-16 00:00:00,2013-08-16 00:00:00,Senior Non-Executive Independent Director
FSFL.L,Audit,Chairman,2021-05-23,213800VO4O83JVSSOX33,Foresight Solar Fund Ltd,6,Ms. Ann Markey,Ann,,Markey,NaT,2020-09-04 00:00:00,2020-09-04 00:00:00,Non-Executive Independent Director
FSFL.L,Audit,Member,,213800VO4O83JVSSOX33,Foresight Solar Fund Ltd,7,Mrs. Monique O Keefe,Monique,,O Keefe,NaT,2019-06-01 00:00:00,2019-06-01 00:00:00,Non-Executive Independent Director
FRAS.L,Audit,Chairman,2018-10-01,213800JEGHHEAXIJDX34,Frasers Group PLC,8,"Mr. Richard Bottomley, OBE",Richard,,Bottomley,NaT,2018-10-01 00:00:00,2018-10-01 00:00:00,Senior Independent Non-Executive Director
FRAS.L,Audit,Member,2016-12-08,213800JEGHHEAXIJDX34,Frasers Group PLC,9,Mr. David Brayshaw,David,,Brayshaw,NaT,2016-12-08 00:00:00,2016-12-08 00:00:00,Independent Non-Executive Director
FRAS.L,Audit,Member,2018-10-01,213800JEGHHEAXIJDX34,Frasers Group PLC,10,Ms. Nicola Frampton,Nicola,,Frampton,NaT,2018-10-01 00:00:00,2018-10-01 00:00:00,Independent Non-Executive Director
FRES.L,Audit,Member,,549300JXWH1UV5J0XV81,Fresnillo PLC,12,Ms. Georgina Y. Kessel Martinez,Georgina Y.,,Kessel Martinez,NaT,2018-05-30 00:00:00,2018-05-30 00:00:00,Non-Executive Independent Director
FRES.L,Audit,Member,,549300JXWH1UV5J0XV81,Fresnillo PLC,15,Mr. Hector Rangel Domene,Hector,,Rangel Domene,NaT,2008-04-15 00:00:00,2021-06-24 00:00:00,Non-Executive Independent Director
FRES.L,Audit,Chairman,2018-05-30,549300JXWH1UV5J0XV81,Fresnillo PLC,16,Mr. Alberto Tiburcio,Alberto,,Tiburcio,NaT,2016-05-04 00:00:00,2016-05-04 00:00:00,Non-Executive Independent Director
FUTR.L,Audit,Member,2020-09-01,213800K2581YRLEXV353,Future PLC,5,Ms. Meredith E. Amdur,Meredith,E.,Amdur,NaT,2020-02-06 00:00:00,2020-02-06 00:00:00,Non-Executive Independent Director
FUTR.L,Audit,Member,2014-12-01,213800K2581YRLEXV353,Future PLC,7,Mr. Hugo Drayton,Hugo,,Drayton,NaT,2014-12-01 00:00:00,2018-10-01 00:00:00,Senior Non-Executive Independent Director
FUTR.L,Audit,Chairman,2018-02-06,213800K2581YRLEXV353,Future PLC,9,Mr. Alan Newman,Alan,,Newman,NaT,2018-02-06 00:00:00,2018-02-06 00:00:00,Non-Executive Independent Director
FUTR.L,Audit,Member,2021-02-22,213800K2581YRLEXV353,Future PLC,10,Ms. Angela Seymour-Jackson,Angela,,Seymour-Jackson,NaT,2021-02-22 00:00:00,2021-02-22 00:00:00,Non-Executive Independent Director
GAW.L,Audit,Chairman,2022-07-01,213800RP9QJQYGWHNT41,Games Workshop Group PLC,5,Mr. Randal Casson,Randal,,Casson,NaT,2022-07-01 00:00:00,2022-07-01 00:00:00,Independent Non-Executive Director
